product_class,Month,sales_volume
C1008,2017-07-01,50086.0
C1010,2013-01-01,69791.0
C1010,2013-02-01,66176.0
C1010,2013-03-01,74812.0
C1010,2013-04-01,73269.0
C1010,2013-05-01,76844.0
C1010,2013-06-01,75097.0
C1010,2013-07-01,77101.0
C1010,2013-08-01,76853.0
C1010,2013-09-01,76897.0
C1010,2013-10-01,78315.0
C1010,2013-11-01,77389.0
C1010,2013-12-01,93741.0
C1010,2014-01-01,68866.0
C1010,2014-02-01,65907.0
C1010,2014-03-01,76732.0
C1010,2014-04-01,70362.0
C1010,2014-05-01,69892.0
C1010,2014-06-01,72901.0
C1010,2014-07-01,74808.0
C1010,2014-08-01,81340.0
C1010,2014-09-01,76374.0
C1010,2014-10-01,83093.0
C1010,2014-11-01,85849.0
C1010,2014-12-01,131434.0
C1010,2015-01-01,84434.0
C1010,2015-02-01,79113.0
C1010,2015-03-01,90629.0
C1010,2015-04-01,92149.0
C1010,2015-05-01,98140.0
C1010,2015-06-01,96685.0
C1010,2015-07-01,94789.0
C1010,2015-08-01,92394.0
C1010,2015-09-01,93340.0
C1010,2015-10-01,92942.0
C1010,2015-11-01,91120.0
C1010,2015-12-01,125616.0
C1010,2016-01-01,85737.0
C1010,2016-02-01,81873.0
C1010,2016-03-01,89502.0
C1010,2016-04-01,144571.0
C1010,2016-05-01,104662.0
C1010,2016-06-01,85619.0
C1010,2016-07-01,86865.0
C1010,2016-08-01,81668.0
C1010,2016-09-01,86035.0
C1010,2016-10-01,109408.0
C1010,2016-11-01,120369.0
C1010,2016-12-01,153908.0
C1010,2017-01-01,110619.0
C1010,2017-02-01,99344.0
C1010,2017-03-01,112832.0
C1010,2017-04-01,117284.0
C1010,2017-05-01,123938.0
C1010,2017-06-01,113642.0
C1010,2017-07-01,137171.0
C1012,2013-01-01,68872.0
C1012,2013-02-01,64942.0
C1012,2013-03-01,76677.0
C1012,2013-04-01,74091.0
C1012,2013-05-01,74658.0
C1012,2013-06-01,76148.0
C1012,2013-07-01,74635.0
C1012,2013-08-01,77503.0
C1012,2013-09-01,79878.0
C1012,2013-10-01,76104.0
C1012,2013-11-01,75489.0
C1012,2013-12-01,104090.0
C1012,2014-01-01,74113.0
C1012,2014-02-01,71569.0
C1012,2014-03-01,82639.0
C1012,2014-04-01,73350.0
C1012,2014-05-01,82602.0
C1012,2014-06-01,78168.0
C1012,2014-07-01,75740.0
C1012,2014-08-01,78417.0
C1012,2014-09-01,75819.0
C1012,2014-10-01,78783.0
C1012,2014-11-01,78961.0
C1012,2014-12-01,99234.0
C1012,2015-01-01,77068.0
C1012,2015-02-01,72188.0
C1012,2015-03-01,81811.0
C1012,2015-04-01,74593.0
C1012,2015-05-01,86465.0
C1012,2015-06-01,78957.0
C1012,2015-07-01,82241.0
C1012,2015-08-01,88186.0
C1012,2015-09-01,88042.0
C1012,2015-10-01,87702.0
C1012,2015-11-01,91959.0
C1012,2015-12-01,101144.0
C1012,2016-01-01,78570.0
C1012,2016-02-01,71471.0
C1012,2016-03-01,79137.0
C1012,2016-04-01,113116.0
C1012,2016-05-01,86489.0
C1012,2016-06-01,70456.0
C1012,2016-07-01,75917.0
C1012,2016-08-01,72140.0
C1012,2016-09-01,71948.0
C1012,2016-10-01,78366.0
C1012,2016-11-01,82425.0
C1012,2016-12-01,99414.0
C1012,2017-01-01,72391.0
C1012,2017-02-01,66517.0
C1012,2017-03-01,75801.0
C1012,2017-04-01,78825.0
C1012,2017-05-01,73495.0
C1012,2017-06-01,70434.0
C1012,2017-07-01,74698.0
C1013,2013-01-01,13181.0
C1013,2013-02-01,12211.0
C1013,2013-03-01,12218.0
C1013,2013-04-01,12278.0
C1013,2013-05-01,14132.0
C1013,2013-06-01,13529.0
C1013,2013-07-01,11699.0
C1013,2013-08-01,9983.0
C1013,2013-09-01,7519.0
C1013,2013-10-01,10941.0
C1013,2013-11-01,15039.0
C1013,2013-12-01,17701.0
C1013,2014-01-01,10231.0
C1013,2014-02-01,11305.0
C1013,2014-03-01,11752.0
C1013,2014-04-01,11896.0
C1013,2014-05-01,7818.0
C1013,2014-06-01,10458.0
C1013,2014-07-01,11959.0
C1013,2014-08-01,10914.0
C1013,2014-09-01,9813.0
C1013,2014-10-01,12486.0
C1013,2014-11-01,13013.0
C1013,2014-12-01,24703.0
C1013,2015-01-01,12826.0
C1013,2015-02-01,11039.0
C1013,2015-03-01,12626.0
C1013,2015-04-01,11850.0
C1013,2015-05-01,9623.0
C1013,2015-06-01,12130.0
C1013,2015-07-01,12140.0
C1013,2015-08-01,11615.0
C1013,2015-09-01,10685.0
C1013,2015-10-01,9654.0
C1013,2015-11-01,1286.0
C1013,2015-12-01,17816.0
C1013,2016-01-01,7658.0
C1013,2016-02-01,7610.0
C1013,2016-03-01,8159.0
C1013,2016-04-01,20335.0
C1013,2016-05-01,30677.0
C1013,2016-06-01,10319.0
C1013,2016-07-01,10904.0
C1013,2016-08-01,10150.0
C1013,2016-09-01,9789.0
C1013,2016-10-01,10980.0
C1013,2016-11-01,10769.0
C1013,2016-12-01,23171.0
C1013,2017-01-01,10888.0
C1013,2017-02-01,9924.0
C1013,2017-03-01,11667.0
C1013,2017-04-01,10764.0
C1013,2017-05-01,16277.0
C1013,2017-06-01,10822.0
C1013,2017-07-01,11014.0
C1014,2013-01-01,262625.0
C1014,2013-02-01,261209.0
C1014,2013-03-01,311927.0
